id,nombre,nombre_en,tema,familia,cas,chembl_id,smiles_entrada,smiles_ph74,carga_neta_ph74,smiles_canonico,formula,mw,masa_exacta,carga_formal,logp,refractividad_molar,tpsa,hbd,hba,enlaces_rotables,atomos_pesados,anillos,anillos_aromaticos,fraccion_csp3,qed,estereocentros_cip,inchi,inchikey,lipinski_violaciones,cumple_lipinski,imagen,notas
QFDOS-056,Reserpina,Reserpine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,50-55-5,CHEMBL772,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,C33H40N2O9,608.69,608.2734,0,4.17,160.69,117.78,1,10,8,44,6,3,0.515,0.374,C5:S; C6:S; C8:R; C24:S; C26:R; C42:R,"InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3/t18-,22+,24-,27-,28+,31+/m1/s1",QEVHRUUCFGRFIF-MDEJGZGSSA-N,1,Si,img/QFDOS-056_reserpina.png,"Alcaloide de Rauwolfia serpentina. Inhibidor irreversible del transportador vesicular VMAT-2; bloquea la entrada de noradrenalina, dopamina y serotonina a las vesículas presinápticas. Las aminas quedan desprotegidas en el citoplasma y la MAO las degrada rápidamente, agotando las reservas de neurotransmisor. Hipotensor potente pero con severo efecto sedante y depresión psíquica por penetración en SNC."
QFDOS-057,Mediodespidina (Deserpidina),Deserpidine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,131-01-1,CHEMBL1200515,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,C32H38N2O8,578.66,578.2628,0,4.16,154.14,108.55,1,9,7,42,6,3,0.5,0.414,C5:S; C6:S; C8:R; C22:S; C24:R; C40:R,"InChI=1S/C32H38N2O8/c1-37-24-12-17(13-25(38-2)29(24)39-3)31(35)42-26-14-18-16-34-11-10-20-19-8-6-7-9-22(19)33-28(20)23(34)15-21(18)27(30(26)40-4)32(36)41-5/h6-9,12-13,18,21,23,26-27,30,33H,10-11,14-16H2,1-5H3/t18-,21+,23-,26-,27+,30+/m1/s1",CVBMAZKKCSYWQR-WCGOZPBSSA-N,1,Si,img/QFDOS-057_mediodespidina_deserpidina.png,"11-desmetoxireserpina. Modificación molecular optimizada de la reserpina en la que se retira el grupo metoxilo del C11 del indol. Conserva idéntica potencia hipotensora periférica que la reserpina pero reduce de forma drástica el efecto sedante y depresor sobre el sistema nervioso central, ilustrando la modulación de efectos secundarios mediante variación molecular."
QFDOS-058,Rescinamina,Rescinnamine,Moduladores de liberacion y almacenamiento,Alcaloide indolico,24815-24-5,CHEMBL1668,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CC[NH+]3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,C35H42N2O9,634.73,634.289,0,4.57,170.4,117.78,1,10,9,46,6,3,0.486,0.265,C5:S; C6:S; C8:R; C24:S; C26:R; C44:R,"InChI=1S/C35H42N2O9/c1-40-21-8-9-22-23-11-12-37-18-20-15-29(46-30(38)10-7-19-13-27(41-2)33(43-4)28(14-19)42-3)34(44-5)31(35(39)45-6)24(20)17-26(37)32(23)36-25(22)16-21/h7-10,13-14,16,20,24,26,29,31,34,36H,11-12,15,17-18H2,1-6H3/b10-7+/t20-,24+,26-,29-,31+,34+/m1/s1",SZLZWPPUNLXJEA-QEGASFHISA-N,1,Si,img/QFDOS-058_rescinamina.png,"Alcaloide de Rauwolfia en el que el resto de ácido trimetoxibenzoico se sustituye por ácido 3,4,5-trimetoxicinámico. Constituye un ejemplo de manual de vinilogía natural: la inserción de la doble ligadura conjugada trans (-CH=CH-) transmite los efectos electrónicos del anillo aromático sobre el carbonilo del éster, manteniendo la afinidad biológica sobre el transportador vesicular VMAT."
QFDOS-059,Guanidina,Guanidine,Moduladores de liberacion y almacenamiento,Guanidina,113-00-8,CHEMBL602,NC(N)=N,NC(N)=[NH2+],1,N=C(N)N,CH5N3,59.07,59.0483,0,-1.16,16.1,75.89,3,1,0,4,0,0,0.0,0.243,aquiral,"InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)",ZRALSGWEFCBTJO-UHFFFAOYSA-N,0,Si,img/QFDOS-059_guanidina.png,"Base nitrogenada muy fuerte (pKa 13.6). Al protonarse sobre el nitrógeno imínico genera el catión guanidinio, el cual presenta una extraordinaria estabilización por resonancia simétrica con tres formas canónicas equivalentes de igual energía (catión Y-aromático). Su alta basicidad y polaridad inspiraron el diseño de fármacos adrenérgicos con carga permanente."
QFDOS-060,Guanetidina,Guanethidine,Moduladores de liberacion y almacenamiento,Guanidina,55-65-2,CHEMBL765,N=C(N)NCCN1CCCCCCC1,NC(=[NH2+])NCCN1CCCCCCC1,1,N=C(N)NCCN1CCCCCCC1,C10H22N4,198.31,198.1844,0,0.74,59.44,65.14,3,2,3,14,1,0,0.9,0.463,aquiral,"InChI=1S/C10H22N4/c11-10(12)13-6-9-14-7-4-2-1-3-5-8-14/h1-9H2,(H4,11,12,13)",ACGDKVXYNVEAGU-UHFFFAOYSA-N,0,Si,img/QFDOS-060_guanetidina.png,"Bloqueante neuronal presináptico que vacía las reservas de noradrenalina. Su grupo guanidino fuertemente básico (pKa > 12) se encuentra 100% ionizado a pH 7.4; por tanto, no atraviesa la BHE y carece por completo de la depresión central y sedación de la reserpina. Utilizada en hipertensión severa. Se sintetiza a partir de cicloheptanona vía transposición de Beckmann."
QFDOS-061,Cloruro de S-metilisotiuronio,S-Methylisothiourea chloride,Moduladores de liberacion y almacenamiento,Sal de isotiourea,860-44-6,CHEMBL1235659,CSC(N)=[NH2+].[Cl-],CSC(N)=[NH2+].[Cl-],0,CSC(N)=[NH2+].[Cl-],C2H7ClN2S,126.61,126.0018,0,-4.57,24.63,51.61,2,1,0,6,0,0,0.5,0.254,aquiral,"InChI=1S/C2H6N2S.ClH/c1-5-2(3)4;/h1H3,(H3,3,4);1H",KRYWEAYKLGCRRH-UHFFFAOYSA-N,0,Si,img/QFDOS-061_cloruro_de_s_metilisotiuronio.png,"Reactivo electrófilo de guanidinación. En la ruta sintética de la guanetidina, reacciona mediante sustitución nucleófila con la 2-(azepan-1-il)etanamina desprendiendo metanotiol (CH3SH), incorporando de forma directa el grupo guanidino en el extremo de la cadena."
QFDOS-062,"3,4-Dihidroxifenilglicolaldehido (DOPEGAL)",DOPEGAL,Moduladores de liberacion y almacenamiento,Catecolaldehido,533-32-4,CHEMBL1231872,O=CC(O)c1ccc(O)c(O)c1,O=CC(O)c1ccc(O)c(O)c1,0,O=CC(O)c1ccc(O)c(O)c1,C8H8O4,168.15,168.0423,0,0.33,40.8,77.76,3,4,2,12,1,1,0.125,0.439,1 centro(s) sin definir,"InChI=1S/C8H8O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-4,8,10-12H",YUGMCLJIWGEKCK-UHFFFAOYSA-N,0,Si,img/QFDOS-062_3_4_dihidroxifenilglicolaldehido_dopegal.png,"Metabolito aldehídico intermediario de la inactivación de la noradrenalina por la monoaminooxidasa (MAO). La desaminación oxidativa de la cadena lateral genera este aldehído, el cual es rápidamente reducido a 3,4-dihidroxifenilglicol (DOPEG) o metabolizado por COMT a ácido vanilmandélico (VMA)."
QFDOS-063,(-)-Efedrina,(-)-Ephedrine,Agonistas adrenergicos indirectos,Fenilpropanolamina,299-42-3,CHEMBL211456,CN[C@@H](C)[C@@H](O)c1ccccc1,C[NH2+][C@@H](C)[C@@H](O)c1ccccc1,1,CN[C@@H](C)[C@@H](O)c1ccccc1,C10H15NO,165.24,165.1154,0,1.33,49.92,32.26,2,2,3,12,1,1,0.4,0.708,C3:S; C5:S,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10+/m0/s1",KWGRBVOPPLSCSI-WCBMZHEXSA-N,0,Si,img/QFDOS-063_efedrina.png,"Alcaloide de Ephedra y prototipo de agonista adrenérgico de acción mixta (activa receptores alfa y beta directamente y estimula la liberación de noradrenalina). Configuración (1R,2S)-(-)-eritro. Carece de OH fenólicos (estable frente a COMT y activa por vía oral) y conserva el OH bencílico, cuya polaridad disminuye su estimulación en SNC frente a la anfetamina."
QFDOS-064,(+)-Pseudoefedrina,(+)-Pseudoephedrine,Agonistas adrenergicos indirectos,Fenilpropanolamina,90-82-4,CHEMBL100,CN[C@@H](C)[C@H](O)c1ccccc1,C[NH2+][C@@H](C)[C@H](O)c1ccccc1,1,CN[C@@H](C)[C@H](O)c1ccccc1,C10H15NO,165.24,165.1154,0,1.33,49.92,32.26,2,2,3,12,1,1,0.4,0.708,C3:S; C5:R,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1",KWGRBVOPPLSCSI-WPRPVWTQSA-N,0,Si,img/QFDOS-064_pseudoefedrina.png,"Diastereoisómero (1S,2S)-(+)-treo de la efedrina. Presenta mucha menor potencia agonista directa sobre receptores adrenérgicos y menor efecto presor cardiovascular, por lo que es ampliamente utilizado como descongestivo nasal oral sin taquicardia severa."
QFDOS-065,Fenilpropanolamina (Norefedrina),Phenylpropanolamine,Agonistas adrenergicos indirectos,Fenilpropanolamina,14838-15-4,CHEMBL658,CC(N)C(O)c1ccccc1,CC([NH3+])C(O)c1ccccc1,1,CC(N)C(O)c1ccccc1,C9H13NO,151.21,151.0997,0,1.07,45.05,46.25,2,2,2,11,1,1,0.333,0.664,2 centro(s) sin definir,"InChI=1S/C9H13NO/c1-7(10)9(11)8-5-3-2-4-6-8/h2-7,9,11H,10H2,1H3",DLNKOYKMWOXYQA-UHFFFAOYSA-N,0,Si,img/QFDOS-065_fenilpropanolamina_norefedrina.png,"Análogo desmetilado en el nitrógeno de la efedrina (propadrina). Fármaco de acción mixta. El metilo en alfa previene el metabolismo por la MAO, confiriendo alta biodisponibilidad oral. Empleado históricamente como descongestivo y anorexígeno supresor del apetito."
QFDOS-066,Anfetamina,Amphetamine,Agonistas adrenergicos indirectos,Anfetamina,300-62-9,CHEMBL405,CC(N)Cc1ccccc1,CC([NH3+])Cc1ccccc1,1,CC(N)Cc1ccccc1,C9H13N,135.21,135.1048,0,1.58,43.8,26.02,1,1,2,10,1,1,0.333,0.654,1 centro(s) sin definir,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",KWTSXDURSIMDCE-UHFFFAOYSA-N,0,Si,img/QFDOS-066_anfetamina.png,"Prototipo de estimulante adrenérgico indirecto puro. Carece de OH fenólicos y de OH bencílico: lipofilia notable (logP 1.58, TPSA 26.02) y difusión masiva al SNC. El metilo en alfa evita la degradación por MAO. Induce liberación presináptica de catecolaminas e invierte los transportadores DAT y NET. Se sintetiza como racemato."
QFDOS-067,Dextroanfetamina,Dextroamphetamine,Agonistas adrenergicos indirectos,Anfetamina,51-64-9,CHEMBL44652,C[C@@H](N)Cc1ccccc1,C[C@@H]([NH3+])Cc1ccccc1,1,C[C@@H](N)Cc1ccccc1,C9H13N,135.21,135.1048,0,1.58,43.8,26.02,1,1,2,10,1,1,0.333,0.654,C2:R,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1",KWTSXDURSIMDCE-MRVPVSSYSA-N,0,Si,img/QFDOS-067_dextroanfetamina.png,"Eutómero (S)-(+) de la anfetamina. Es de 3 a 4 veces más potente que el enantiómero (R)-(-)-levoanfetamina como estimulante locomotor y psicoestimulante en el SNC, manteniendo excelente eficacia en el tratamiento del TDAH y la narcolepsia."
QFDOS-068,Metanfetamina,Methamphetamine,Agonistas adrenergicos indirectos,Anfetamina,537-46-2,CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,C[NH2+][C@@H](C)Cc1ccccc1,1,CN[C@@H](C)Cc1ccccc1,C10H15N,149.24,149.1204,0,1.84,48.67,12.03,1,1,3,11,1,1,0.4,0.691,C3:S,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",MYWUZJCMWCOHBA-VIFPVBQESA-N,0,Si,img/QFDOS-068_metanfetamina.png,"Derivado N-metilado de la dextroanfetamina. El grupo N-metilo eleva la lipofilia (logP 1.84, TPSA 12.03) y reduce la donación de enlaces de hidrógeno, aumentando exponencialmente la velocidad de penetración cerebral y confiriendo un potencial adictivo y neurotóxico devastador. Configuración (S)."
QFDOS-069,Fentermina,Phentermine,Agonistas adrenergicos indirectos,Anfetamina,122-09-8,CHEMBL1574,CC(C)(N)Cc1ccccc1,CC(C)([NH3+])Cc1ccccc1,1,CC(C)(N)Cc1ccccc1,C10H15N,149.24,149.1204,0,1.97,48.41,26.02,1,1,2,11,1,1,0.4,0.683,aquiral,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3",DHHVAGZRUROJKS-UHFFFAOYSA-N,0,Si,img/QFDOS-069_fentermina.png,"alfa,alfa-dimetilfeniletilamina. Los dos grupos metilo sobre el carbono alfa confieren un impedimento estérico total que bloquea el metabolismo oxidativo por la MAO sin requerir estereocentros. Estimulante adrenérgico indirecto utilizado como anorexígeno central para la reducción del apetito."
QFDOS-070,Mefentermina,Mephentermine,Agonistas adrenergicos indirectos,Anfetamina,100-92-5,CHEMBL1201234,CNC(C)(C)Cc1ccccc1,C[NH2+]C(C)(C)Cc1ccccc1,1,CNC(C)(C)Cc1ccccc1,C11H17N,163.26,163.1361,0,2.23,53.28,12.03,1,1,3,12,1,1,0.455,0.72,aquiral,"InChI=1S/C11H17N/c1-11(2,12-3)9-10-7-5-4-6-8-10/h4-8,12H,9H2,1-3H3",RXQCGGRTAILOIN-UHFFFAOYSA-N,0,Si,img/QFDOS-070_mefentermina.png,Derivado N-metilado de la fentermina. Actúa predominantemente liberando noradrenalina almacenada en terminaciones simpáticas; vasopresor de acción prolongada empleado en el manejo de la hipotensión arterial durante procedimientos quirúrgicos.
QFDOS-071,Hidroxianfetamina (Paredrina),Hydroxyamphetamine,Agonistas adrenergicos indirectos,Feniletilamina,1518-86-1,CHEMBL1546,CC(N)Cc1ccc(O)cc1,CC([NH3+])Cc1ccc(O)cc1,1,CC(N)Cc1ccc(O)cc1,C9H13NO,151.21,151.0997,0,1.28,45.46,46.25,2,2,2,11,1,1,0.333,0.668,1 centro(s) sin definir,"InChI=1S/C9H13NO/c1-7(10)6-8-2-4-9(11)5-3-8/h2-5,7,11H,6,10H2,1H3",GIKNHHRFLCDOEU-UHFFFAOYSA-N,0,Si,img/QFDOS-071_hidroxianfetamina_paredrina.png,"4-hidroxianfetamina. Metabolito y fármaco simpaticomimético de acción mixta. La presencia del hidroxilo fenólico en para confiere polaridad (TPSA 46.25) e impide el paso por la barrera hematoencefálica, careciendo de efectos psicoestimulantes centrales. Utilizada como colirio midriático en diagnóstico oftálmico."
