id,nombre,nombre_en,tema,familia,smiles,smiles_ph74,cas,chembl_id,notas
QFDOS-017,Metilescopolamina,Methscopolamine,Antagonistas muscarinicos,Tropanico cuaternario,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,CHEMBL376897,"N-metilacion del nitrogeno tropanico de la escopolamina: amonio cuaternario de carga permanente. Pierde la fraccion neutra que permitia el paso por la BHE y queda como antimuscarinico periferico (antisecretor gastrico, antiespasmodico); absorcion oral baja y erratica. Ilustra el recurso general de cuaternizar una amina terciaria para confinar el efecto a la periferia. ATC A03BB03 y S01FA03. Se maneja como bromuro"
QFDOS-018,Genescopolamina,Scopolamine N-oxide,Antagonistas muscarinicos,N-oxido tropanico,C[N+]1([O-])[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C[N+]1([O-])[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,"N-oxido de la escopolamina; alcaloide menor presente en Datura junto a la escopolamina. El N-oxido es un zwitterion neutro global mucho mas polar que la amina (TPSA muy superior) y no basico, de modo que no se protona ni penetra en SNC. Los N-oxidos de aminas terciarias se reducen in vivo a la amina de partida (flora intestinal y reductasas hepaticas), asi que se comporta como forma atenuada o precursora de la escopolamina. Estructura derivada mecanicamente de QFDOS-016 con RDKit; el mismo procedimiento aplicado a la atropina reproduce exactamente CHEMBL2146145, lo que valida el metodo. Sin entrada propia en ChEMBL; la correspondencia del nombre comercial Genescopolamina con el N-oxido se establece por analogia con Genatropina y conviene confirmarla"
QFDOS-019,Butilescopolamina,Butylscopolamine,Antagonistas muscarinicos,Tropanico cuaternario,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,CHEMBL1618102,Butilbromuro de hioscina (Buscapina). Cuaternizacion con n-butilo en lugar de metilo: mismo confinamiento periferico que la metilescopolamina con mayor volumen en el nitrogeno. Antiespasmodico de musculo liso digestivo y genitourinario; biodisponibilidad oral muy baja y efecto tras administracion oral atribuido en parte a accion local. A dosis altas anade bloqueo ganglionar nicotinico. ATC A03BB01. Ojo estereoquimico: el nitrogeno cuaternario lleva cuatro sustituyentes distintos y es un centro estereogenico que ChEMBL deja sin definir; se conserva asi
QFDOS-020,Metilatropina,Methylatropine,Antagonistas muscarinicos,Tropanico cuaternario,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,,CHEMBL1187724,"Metonitrato o metilbromuro de atropina. Cuaternizacion de la atropina: antimuscarinico estrictamente periferico, usado como midriatico y antiespasmodico. Los dos metilos del nitrogeno son equivalentes por constitucion, de modo que el nitrogeno no es estereocentro (a diferencia de la butilescopolamina); persiste sin definir el carbono alfa del acido tropico, heredado del racemato. ATC A03BB02. Sales en ChEMBL: CHEMBL516476 (nitrato) y CHEMBL2146143 (bromuro)"
QFDOS-021,Genatropina,Atropine N-oxide,Antagonistas muscarinicos,N-oxido tropanico,C[N+]1([O-])[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C[N+]1([O-])[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,,CHEMBL2146145,"N-oxido de atropina (aminoxido de atropina, Genatropina, Apitropin). Zwitterion neutro no basico y mucho mas polar que la atropina; se reduce in vivo a la amina terciaria, comportamiento tipico de N-oxido. Dos centros sin definir: el carbono alfa del acido tropico (racemato heredado) y el propio nitrogeno del N-oxido, que ChEMBL tampoco define. Sirve en clase para contrastar dos estrategias sobre el mismo nitrogeno: cuaternizar (carga permanente, efecto periferico irreversible) frente a oxidar (polar y reversible in vivo)"
QFDOS-022,Ipratropio,Ipratropium,Antagonistas muscarinicos,Tropanico cuaternario,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,,CHEMBL1621597,"Bromuro de ipratropio (Atrovent). N-isopropil-N-metil sobre el tropano de la atropina: la cuaternizacion con isopropilo en vez de metilo aumenta el volumen y la lipofilia (logP 2.85 frente a 2.08 de la metilatropina) manteniendo la carga permanente. Broncodilatador antimuscarinico por via inhalatoria en EPOC y asma; la carga positiva limita la absorcion desde el pulmon y el paso por la BHE, de modo que el efecto queda confinado a la via aerea y los efectos sistemicos son minimos. Es el ejemplo de manual de diseno por confinamiento local. ATC R03BB01 y R01AX03. Igual que en la butilescopolamina el nitrogeno cuaternario es estereogenico y ChEMBL lo deja sin definir; se suma al carbono alfa del racemato heredado de la atropina"
QFDOS-023,Fisostigmina,Physostigmine,Anticolinesterasicos,Carbamato natural,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,57-47-6,CHEMBL94,"(-)-fisostigmina o eserina, alcaloide del haba del Calabar (Physostigma venenosum). Inhibidor de acetilcolinesterasa de tipo pseudoirreversible: el carbamato carbamoila la serina del sitio esteratico y el complejo carbamoil-enzima se hidroliza en minutos, frente a los segundos del complejo acetilado con acetilcolina. Amina terciaria (no cuaternaria) y por tanto activa en SNC: antidoto del sindrome anticolinergico central. Configuracion 3aS 8aR; el enantiomero natural es el activo"
QFDOS-024,Neostigmina,Neostigmine,Anticolinesterasicos,Carbamato cuaternario,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,,CHEMBL278020,"Simplificacion sintetica del farmacoforo de la fisostigmina: se conserva el carbamato sobre fenol y se sustituye todo el sistema policiclico por un trimetilamonio en meta, que reproduce la interaccion del nitrogeno con el sitio anionico. La carga permanente confina el efecto a la periferia (no atraviesa la BHE). Usos: miastenia gravis, reversion del bloqueo neuromuscular no despolarizante, ileo y retencion urinaria. Ademas de inhibir la colinesterasa tiene accion agonista nicotinica directa sobre la placa motora. ATC N07AA01. Se maneja como bromuro o metilsulfato"
QFDOS-025,Pralidoxima,Pralidoxime,Reactivadores de colinesterasa,Oxima cuaternaria,C[n+]1ccccc1C=NO,C[n+]1ccccc1C=NO,,CHEMBL1420,"Reactivador de la acetilcolinesterasa fosforilada por organofosforados. El piridinio cuaternario ancla la molecula en el sitio anionico y coloca el oxima frente al fosforo unido a la serina; el ataque nucleofilo del oximato libera la enzima y genera un fosfonil-oxima. Debe administrarse pronto: una vez producido el envejecimiento (aging, desalquilacion del aducto) la reactivacion ya no es posible. Al ser cuaternaria no accede al SNC, limitacion que motiva las oximas de nueva generacion y obliga a asociar atropina. El isomero activo es el (E); ChEMBL almacena la oxima sin definir E/Z y aqui se conserva asi. ATC V03AB04. Se maneja como cloruro, yoduro o mesilato"
QFDOS-026,Atracurio,Atracurium,Bloqueantes neuromusculares,Bis-bencilisoquinolina biscuaternaria,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,,CHEMBL1360,"Bloqueante neuromuscular no despolarizante bis-bencilisoquinolinico. Dos amonios cuaternarios separados por un espaciador de diester pentametilendiol; la distancia entre las dos cargas reproduce la de dos moleculas de acetilcolina y explica el antagonismo competitivo sobre el receptor nicotinico de la placa motora. Se degrada por eliminacion de Hofmann espontanea a pH y temperatura fisiologicos mas hidrolisis por esterasas plasmaticas, de modo que su duracion no depende de la funcion renal ni hepatica: es la razon de diseno de la molecula. Mezcla de 10 estereoisomeros (cuatro centros: dos carbonos bencilicos y dos nitrogenos cuaternarios); el cisatracurio es uno solo de ellos. ChEMBL lo almacena sin estereoquimica y aqui se conserva asi. Aviso de descriptores: con carga +2 permanente el logP de Crippen (8.07) carece de sentido fisico y las tres violaciones de Lipinski no predicen nada, porque se administra por via intravenosa y actua en la union neuromuscular sin necesidad de absorcion oral. ATC M03AC04"
QFDOS-027,Acetil coenzima A,Acetyl-CoA,Biosintesis colinergica,Tioester de coenzima A,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],,,"Donante del grupo acetilo en la biosintesis de acetilcolina: la colina acetiltransferasa (ChAT) transfiere el acetilo del tioester a la colina en la terminal presinaptica, y la ChAT es el marcador bioquimico de neurona colinergica. Procede sobre todo de la descarboxilacion oxidativa del piruvato. La clave quimica es el tioester: el azufre estabiliza mucho peor el carbonilo por resonancia que un oxigeno, de modo que el carbono acilico es mas electrofilo y la transferencia del acetilo resulta mucho mas favorable que desde un ester convencional. Es la razon de que la naturaleza acile con tioesteres y no con esteres. A pH 7.4 los tres fosfatos estan ionizados (carga neta -4). Estructura derivada mecanicamente de la coenzima A de ChEMBL (CHEMBL1213327) por S-acetilacion del tiol; el InChIKey resultante coincide con el obtenido escribiendo el SMILES a mano de forma independiente. Sin entrada propia en ChEMBL. Segundo contraejemplo de Lipinski de la base junto al atracurio, esta vez por exceso de polaridad"
QFDOS-028,Adifenina,Adiphenine,Antagonistas muscarinicos,Aminoester sintetico,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,,CHEMBL353846,"Primer paso de la simplificacion sintetica del farmacoforo antimuscarinico: el tropano de la atropina se sustituye por un dietilaminoetanol y el acido tropico por acido difenilacetico. Conserva el ester, el nitrogeno basico a dos carbonos y el volumen aromatico, pero pierde el hidroxilo en alfa. Sin ese OH la afinidad muscarinica es modesta y buena parte de su accion antiespasmodica es musculotropa directa sobre el musculo liso, no antimuscarinica. Amina terciaria: no queda confinada a la periferia. Ocho enlaces rotables, con los dos fenilos girando libremente"
QFDOS-029,Benactizina,Benactyzine,Antagonistas muscarinicos,Aminoester sintetico,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,,CHEMBL70352,"Adifenina mas un hidroxilo en alfa: el acido difenilacetico pasa a acido bencilico (difenilglicolico). Ese OH reproduce el del acido tropico de la atropina y forma el enlace de hidrogeno con el receptor que falta en la adifenina, de modo que la afinidad muscarinica sube de forma marcada. Es el ejemplo mas limpio de la base para mostrar que un solo grupo hidroxilo decide la afinidad. Amina terciaria y lipofilia suficiente para el SNC: se empleo como ansiolitico y los esteres del acido bencilico con aminas terciarias son la familia de los antimuscarinicos centrales. El QED sube a 0.76, el mas alto del bloque"
QFDOS-030,Propantelina,Propantheline,Antagonistas muscarinicos,Aminoester cuaternario,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,,CHEMBL1180725,"Dos modificaciones sobre la misma plantilla. Primera: los dos fenilos libres se atan en un xanteno mediante un puente de oxigeno, lo que rigidifica el sistema en la disposicion adecuada y baja los enlaces rotables de 8 a 6. Segunda: la amina se cuaterniza con metilo y dos isopropilos, de modo que la carga permanente confina el efecto a la periferia igual que en la metilatropina o el ipratropio. Resultado: antiespasmodico y antisecretor gastrico por via oral sin efectos centrales. ATC A03AB05. Se maneja como bromuro (Pro-Banthine)"
QFDOS-031,Piperidolato,Piperidolate,Antagonistas muscarinicos,Aminoester sintetico,CCN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,CCN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,,CHEMBL1623992,"Mismo acido difenilacetico que la adifenina, pero el aminoalcohol se cicla: 1-etilpiperidin-3-ilo en lugar de dietilaminoetilo. El nitrogeno basico queda incorporado al anillo y la distancia entre el nitrogeno y el ester se rigidifica, la misma idea que el xanteno de la propantelina aplicada al otro extremo de la molecula. Sin hidroxilo en alfa, igual que la adifenina. Racemico: el C3 de la piperidina es estereocentro y se guarda sin definir. Antiespasmodico. AVISO: el SMILES de la tabla de origen estaba mal escrito (reutilizaba el digito 1 de cierre de anillo con el anillo de piperidina aun abierto) y generaba un esqueleto macrociclico distinto con la misma formula molecular C21H25NO2; aqui se almacena la estructura corregida, que coincide con la base libre de CHEMBL1511957 (hidrocloruro), parent CHEMBL1623992."
QFDOS-032,Ciclopentolato,Cyclopentolate,Antagonistas muscarinicos,Aminoester sintetico,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,,CHEMBL1201338,"Patron mandelico modificado: el carbono alfa lleva un fenilo y un 1-hidroxiciclopentilo. El hidroxilo terciario sobre el ciclopentano hace el papel del OH de la benactizina y del acido tropico de la atropina, mientras que el ciclopentano sustituye al segundo fenilo y reduce volumen. Aminoalcohol dimetilaminoetilo, mas corto que el dietilo de adifenina y benactizina. Midriatico y cicloplejico topico en oftalmologia, con duracion de horas frente a los dias de la atropina: el ejemplo de manual de como se ajusta la duracion de accion dentro de una misma familia. Racemico. Verificado contra ChEMBL: base libre de CHEMBL1200473 (hidrocloruro), parent CHEMBL1201338."
QFDOS-033,Trihexifenidilo,Trihexyphenidyl,Antagonistas muscarinicos,Aminopropanol,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,,CHEMBL1490,"Ruptura del patron ester: el grupo funcional pasa a ser un carbinol terciario (aminopropanol). Sin ester no hay hidrolisis por esterasas y la duracion de accion se alarga mucho, mientras el hidroxilo sigue proporcionando el enlace de hidrogeno con el receptor. Los dos restos voluminosos son un fenilo y un ciclohexilo, uno aromatico y otro saturado, y la amina basica es una piperidina. Lipofilia alta (logP 4.33) y TPSA minima (23.47) con amina terciaria: entra en SNC y se usa como antiparkinsoniano por bloqueo muscarinico estriatal, que corrige el desequilibrio dopaminergico-colinergico. Racemico: el carbinol es estereocentro y se guarda sin definir. Verificado contra ChEMBL: base libre de CHEMBL1092 (hidrocloruro), parent CHEMBL1490."
QFDOS-034,Isopropamida,Isopropamide,Antagonistas muscarinicos,Amidoamonio cuaternario,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,,CHEMBL1201232,"Doble ruptura respecto al patron clasico. Primera: el ester se sustituye por una amida primaria, que no es sustrato de esterasas y prolonga la accion. Segunda: amonio cuaternario con metilo y dos isopropilos, exactamente el mismo patron de nitrogeno que la propantelina, de modo que el efecto queda confinado a la periferia. Ademas la cadena es un butanamida, con un carbono mas entre el nitrogeno y el centro cuaternario que en los aminoesteres. Antisecretor gastrico de accion prolongada. Se maneja como yoduro (ver QFDOS-035). Verificado contra ChEMBL: cation de CHEMBL1200347, parent CHEMBL1201232."
QFDOS-035,Yoduro de isopropamida,Isopropamide iodide,Antagonistas muscarinicos,Sal de amonio cuaternario,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-],CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-],,CHEMBL1200347,"Sal de yoduro de la isopropamida, que es la forma comercializada y pesada en formulacion. Primera entrada de la base que almacena una sal en lugar del cation: el resto de cuaternarios (metilatropina, ipratropio, butilescopolamina, propantelina, carbacol, betanecol) estan guardados solo como cation, con el contraion anotado. Se incluye porque figuraba como fila propia en la tabla de origen; conviene decidir si se generaliza el criterio o si esta entrada se retira. Util: el yoduro aporta 126.90 al peso molecular (480.43 frente a 353.53) para calculos de dosificacion. Enganoso: los descriptores calculados sobre la sal no describen la especie activa, y se ve en el logP, que cae de 4.11 en el cation a 1.12 en el yoduro porque el contraion entra en el calculo de Crippen. Es la razon por la que la base guarda cationes. Verificado contra ChEMBL: CHEMBL1200347, InChIKey coincidente."
QFDOS-036,Benztropina,Benztropine,Antagonistas muscarinicos,Eter tropanico,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,,CHEMBL1201203,"Hibrido de las dos series del curso: conserva intacto el tropano de la atropina y le acopla el eter de benzhidrilo de la difenhidramina. El cambio funcional decisivo es ester por eter: sin carbonilo no hay hidrolisis por esterasas y desaparecen dos aceptores polares, de modo que la TPSA cae a 12.47, la mas baja de toda la base, con logP 4.42. Amina terciaria mas esa combinacion de polaridad minima y lipofilia alta: entra en SNC con facilidad y se usa como antiparkinsoniano (ATC N04AC01) por bloqueo muscarinico estriatal, igual que el trihexifenidilo, pero ademas inhibe el transportador de dopamina (DAT), un mecanismo dopaminergico adicional que el trihexifenidilo no tiene. Estereoquimica: los dos cabeza de puente del tropano estan definidos y el carbono bencidrilico NO es estereocentro, porque lleva dos fenilos identicos; por eso, a diferencia de la atropina, no hay centro sin definir ni racemato. Se maneja como mesilato (CHEMBL1200383, Cogentin). Verificado contra ChEMBL: CHEMBL1201203, coincidencia exacta de SMILES, InChIKey, MW, logP, TPSA y QED."
QFDOS-037,Succinilcolina,Succinylcholine,Bloqueantes neuromusculares,Bis-ester de colina,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,,,"Suxametonio: literalmente dos moleculas de acetilcolina unidas por sus extremos acetilo, es decir el diester de acido succinico con dos colinas. Esa es toda la idea de diseno y se ve de un vistazo junto a QFDOS-001. Bloqueante neuromuscular DESPOLARIZANTE, el unico de la base: en lugar de antagonizar el receptor nicotinico lo activa de forma persistente, porque no lo hidroliza la acetilcolinesterasa; la despolarizacion mantenida inactiva los canales de sodio adyacentes y produce el bloqueo, precedido de las fasciculaciones caracteristicas. Contrasta punto por punto con el atracurio (QFDOS-026), que es no despolarizante y competitivo. Duracion ultracorta porque la hidroliza la butirilcolinesterasa plasmatica: en deficit genetico de esa enzima el bloqueo se prolonga durante horas, que es el ejemplo clasico de farmacogenetica del tema. Dication permanente, aquiral, simetrico. Estructura construida a mano (diester succinico de colina) y comprobada con RDKit: C14H30N2O4 2+, 290.40, InChIKey AXOIZCJOOAYSMI-UHFFFAOYSA-N. Pendiente de contrastar contra ChEMBL, que estaba caido el 2026-09-16"
